Close,High,Low,Open,Volume,MA20,MA60,MA120
29.624412536621094,29.73161226625087,29.28942104887471,29.548481950582225,387816800,,,
29.15765953063965,30.046502687249728,28.936567322211797,30.02863947275252,475696000,,,
28.7288761138916,29.387692168497615,28.652945511304686,29.068335182947152,253544400,,,
27.949459075927734,28.728872190424035,27.82216236838046,28.728872190424035,332781600,,,
28.798105239868164,29.061633688785268,27.982960526076326,28.161621657599095,234050400,,,
28.742271423339844,29.15989649766207,28.644006699969907,28.920934246947915,203953200,,,
28.094619750976562,28.686436675126448,28.09015224370668,28.61943769691656,197085600,,,
27.918197631835938,28.306787371933314,27.549706567879966,28.26435456160562,288564000,,,
28.09087562561035,28.27476919935701,27.812791325039594,27.980986729477593,175763600,,,
28.620132446289062,28.620132446289062,28.281498531518576,28.40932697854194,222201600,,,
28.328590393066406,28.606672974255993,28.173850078151617,28.568549094369533,168143200,,,
28.227676391601562,28.45417831798715,27.992202126816753,28.167125084212447,192640000,,,
28.259071350097656,28.523698857849375,28.227675011124752,28.290467689070557,138776800,,,
28.918397903442383,28.918397903442383,28.516973015362268,28.57303815415217,180814000,,,
28.87803077697754,29.03949863999735,28.75244542172753,28.945309623559844,152832000,,,
29.19647789001465,29.31533569285124,28.78608072435578,28.790566892937537,203531600,,,
29.169559478759766,29.351209902628476,29.073125702197256,29.308599868003856,178532800,,,
29.167327880859375,29.373647185389032,29.005860003932757,29.15387279477292,145819600,,,
29.46558952331543,29.519413279900895,29.115743660369798,29.169567416955264,158921600,,,
29.72348403930664,29.81991783006731,29.467827215861035,29.512682051718205,182384000,28.75294075012207,,
29.06864356994629,29.806462497095207,28.956513325134654,29.736942292822956,282790400,28.72515230178833,,
29.611360549926758,29.660698143072093,29.165084260036185,29.230118311758137,183332800,28.747837352752686,,
29.553058624267578,29.59118251180284,29.400563074126527,29.57099988109797,122933200,28.789046478271484,,
29.216659545898438,29.4790439371457,29.13143945539383,29.429706350216073,203538000,28.85240650177002,,
29.274961471557617,29.465584247801104,29.165076026709112,29.216654978820518,128451200,28.876249313354492,,
29.144901275634766,29.301882969200555,29.001374666954007,29.122473852863536,134670400,28.896380805969237,,
29.180770874023438,29.364666099515095,29.131433297522904,29.301873442504082,123934000,28.950688362121582,,
29.010351181030273,29.283949385165187,28.909434596017107,29.05968878649363,153800400,29.0052960395813,,
28.851112365722656,29.084345205321515,28.786078325454806,29.04173516220574,142507200,29.043307876586915,,
28.660497665405273,28.97670584773006,28.442964668084898,28.907182205972028,210699200,29.045326137542723,,
28.575273513793945,28.723286270314905,28.171605626046762,28.413805674306314,224301600,29.0576602935791,,
28.902700424194336,29.005858359639028,28.671710623313455,28.687408793181845,156349200,29.09141149520874,,
28.837661743164062,29.194235177107373,28.812992947120826,28.969974639239496,141563600,29.12034101486206,,
28.519210815429688,28.779353848084433,28.505755731317215,28.74795751117397,147544800,29.100381660461426,,
28.46314811706543,28.534911423420617,28.19179306144201,28.27925453759451,175955600,29.07963752746582,,
28.615636825561523,28.671701945404305,28.339797394079174,28.48780842075885,125976400,29.050595474243163,,
28.548368453979492,28.678438271522495,28.422781383597965,28.642557473536485,131672400,29.01953592300415,,
28.678436279296875,28.77486837670789,28.53042521755676,28.532668301953876,141628800,28.995091342926024,,
28.39137840270996,28.664976481116188,28.34652698797561,28.640307689720753,218867600,28.941380786895753,,
28.617883682250977,28.718800226883594,28.499025886270193,28.590971805228726,136157200,28.88610076904297,,
28.487817764282227,28.61788929561195,28.454178339149056,28.588736039681727,121075600,28.857059478759766,,
28.730016708374023,29.109017552550675,28.50799926218056,28.52818188866539,221123600,28.812992286682128,,
28.59321403503418,28.974456204445893,28.59321403503418,28.89820845495229,127752400,28.76500005722046,,
28.425016403198242,28.703098924835952,28.371194366003913,28.631335638252942,176267200,28.72541790008545,,
27.927160263061523,28.362226187922754,27.9159482644552,28.135722600023964,196645600,28.658027839660644,,
28.128999710083008,28.283740030796153,28.00117127022454,28.160396048927392,177482800,28.607232761383056,,
28.39137840270996,28.46762786092452,28.25457936350685,28.45865723578329,120955200,28.567763137817384,,
28.35549545288086,28.411560572513434,28.205239631927096,28.35325236902349,108844000,28.535020351409912,,
28.256824493408203,28.30840516396191,27.998924562583504,28.019108898355626,112241600,28.50530595779419,,
28.187313079833984,28.290472742166813,27.756731462349084,28.23216451181436,187787200,28.481646728515624,,
27.487607955932617,27.951827097826204,27.480880415045597,27.91594630943818,243046400,28.427263450622558,,
26.926969528198242,27.821768821680124,26.736348364961408,27.774674302125554,314380000,28.328476905822754,,
27.646841049194336,27.7746694975796,27.182621767061306,27.34633272564635,245418000,28.268935871124267,,
28.18058204650879,28.20300775972198,27.88007201434083,28.039296802418413,165762000,28.252004432678223,,
28.169363021850586,28.33980148987726,28.04153459857356,28.265795110355842,127072400,28.23731517791748,,
28.440719604492188,28.514725988095567,28.16263703361612,28.194033370119612,134596800,28.228569316864014,,
28.819719314575195,28.833177820731756,28.559577990959436,28.647039460284496,144889600,28.242136859893797,,
29.06864356994629,29.06864356994629,28.774862876050765,28.947544411204866,184658800,28.26164722442627,,
29.618087768554688,29.81992086266363,29.310848537016735,29.37139983402697,235600800,28.322982692718504,,
29.322071075439453,29.808716127396533,29.225640667782276,29.79301966607916,307025600,28.35819206237793,28.66574452718099,
28.0819034576416,28.1446961314303,27.357541202785857,27.357541202785857,461802400,28.3378963470459,28.64003604253133,
28.068449020385742,28.50127020482842,28.046021598396894,28.30167846812664,203998000,28.304817962646485,28.6218825340271,
27.92043685913086,28.198519445964873,27.785880879112604,28.104330431049306,168649200,28.271179103851317,28.608408546447755,
27.5324649810791,27.72084471917167,27.386697002890582,27.604228283454344,177822000,28.22655153274536,28.601458644866945,
27.669261932373047,27.788121443431375,27.483127003865018,27.669261932373047,134472400,28.213656616210937,28.582644589742024,
27.581804275512695,27.696177633882726,27.420336407454347,27.617686784402196,148046800,28.18629684448242,28.563303470611572,
27.442760467529297,27.48761188717185,27.2947477029593,27.431546757132665,134513200,28.13886594772339,28.552439149220785,
27.202808380126953,27.503316728788384,27.115346892921167,27.494346100488766,171540000,28.081231594085693,28.540515995025636,
26.56141471862793,27.487609986895492,26.35509375400843,27.247651315355515,279904000,27.99646110534668,28.51502497990926,
25.709226608276367,26.3954632715135,25.3975046134744,26.332670597880302,496554400,27.8725567817688,28.46650988260905,
25.879671096801758,26.337162882182565,25.139610503485542,25.330231652984438,397250400,27.792159938812254,28.42569456100464,
